section_id,text,type,confidence,category
A.2,This SOW will address requirements for transition from the existing NLRB services that are currently under the Circuit Switched Voice Service (CSVS) section of the GSA EIS contract.,Informative,0.6,Service
A.3,NLRB currently has the following existing contract that are will be replaced under this procurement: • CSVS: 63NLRB19F0106 • AT&T Expires 3/18/25,Informative,0.6,General
A.3,"NLRB plans to replace this service on a like-for-like or equivalent basis where required, and to utilize transformative services and or options to be incrementally implemented to support overarching agency objectives where possible.",Mandatory,0.8,Service
A.3,The task order (TO) awarded will include the telecommunications service functionality described in this solicitation.,Informative,0.6,Service
A.4,"Although the majority of our existing security panels do not support sending alerts o via ethernet to our monitoring provider, all new panels will have that capability.",Informative,0.7,Technical
A.4,"Since these services are no longer being provided under the GSA EIS contract, we are procuring replacement services outside of the EIS contract The Contractor shall provide POTS service, or equivalent, including installation and DMARC extension at all field offices and headquarters (see attachment J2 NLRB Offices POTS Service Locations).",Mandatory,0.8,Service
A.4,"The Contractor shall also provide all personnel, transportation, equipment, tools, materials, supplies, installation, management, supervision, engineering, maintenance, testing, and services necessary to make circuits/services fully operational and to perform all tasks and functions as defined in this solicitation.",Mandatory,0.8,Service
A.5,"Based on recent office moves, we expect that two to five office locations will relocate in each year of this contract and approximately 50% of those will be removed from this TO.",Informative,0.6,General
A.5,"NLRB anticipates that during the period of performance of this TO, some NLRB office locations will change.",Informative,0.6,Service
A.5,Offeror must provide comprehensive training and documentation to ensure NLRB o staff are familiar with the new equivalent solution and can effectively manage and troubleshoot any common issues.,Mandatory,0.8,Training
A.5,"Required Capabilities • Offeror must provide a turn-key solution for each NLRB location • Offeror must be able to complete the transition within 60 days of contract award • For each NLRB Field Office location listed in attachment J2, Offeror must provide a single Plain Old Telephone Service (POTS) line [analog] or equivalent This includes installation of the proposed solution to the appropriate room where the o security panel is located which includes the DMARC extension if required Offeror must also ensure that each security panel is operational as part of the o installation process • If an equivalent solution is proposed: Offeror must ensure that security and bug fixes/patching shall be maintained and kept o up to date on any proposed IT equipment.",Mandatory,0.8,Technical
A.5,Service continuity and changes will be managed within allowable thresholds.,Informative,0.6,Service
A.5,"The Contractor shall also provide all personnel, transportation, equipment, tools, materials, supplies, installation, management, supervision, engineering, maintenance, testing, and services necessary to make circuits/services fully operational and to perform all tasks and functions as defined in this solicitation i.",Mandatory,0.8,Service
A.5,The TO will provide service to all existing NLRB locations listed in the NLRB Field Office location list attachment as well as any future sites.,Informative,0.7,Service
A.5,The equivalent solution must have built-in battery backup o The equivalent solution must be a fully managed service o The intent of this new Task Order is to maximize the benefits and minimize the costs.,Mandatory,0.8,Service
A.5,These office moves may have to be supported under this TO but will probably include new security panels which will allow sending alerts via ethernet or cellular service which will allow them to be removed from this TO.,Informative,0.7,Technical
A.6,Security Requirements The contractor shall comply with Section 52.239-9000 Information Technology Security Requirements (March 2021) listed under Section I Contract Clauses.,Mandatory,0.8,Technical
A.7,Alternative Solutions Contractors are directed to submit proposals that provide the best value solution responses for meeting the requirements of this solicitation.,Mandatory,0.8,General
A.7,Proposals with alternative approaches should contain a detailed description of the solution and pricing that uses fixed price CLINs whenever possible.,Informative,0.6,General
A.7,"The contractor’s proposed price model shall clearly map to the requirements of this solicitation, as instructed in of this solicitation.",Mandatory,0.8,General
B,"Packaging and Marking Preservation, packaging, and packing for all items delivered shall be in accordance with commercial best practices and adequate to insure acceptance by common carrier and safe arrival at destination.",Mandatory,0.8,General
B,"Protections afforded to packaging and marking shall also ensure secure shipment and transportation of materials as to ensure products placed in shipment or transportation process are not tampered with, accessed, damaged or compromised in any fashion.",Mandatory,0.8,Process
B,Sufficient insurance and carrier guarantees shall also be applied to materials delivered under the terms and conditions of this contract.,Mandatory,0.8,General
B,The Offeror shall place the contract number on or adjacent to the exterior shipping label.,Mandatory,0.8,General
C,Inspection and Acceptance The NLRB Point of Contact (POC) that will perform the inspection and acceptance of supplies and services shall be identified in each location.,Mandatory,0.8,General
C,The NLRB shall provide the offeror with an acceptance determination of any supplies and services in writing.,Mandatory,0.8,General
C,"Unless otherwise specified, the acceptance determination shall be provided within 30 days of receipt of any supplies and services.",Mandatory,0.8,General
C.4,"Corrective-action process, if necessary. • The final transition plan submitted within 10 calendar days of award should provide additional detail to include all of the steps required to implement the proposed solution that includes a detailed section for each NLRB location.",Mandatory,0.8,Process
C.4,"The Contractor shall coordinate implementation and work schedules with other parallel services and the agency’s current service provider and other support contractors that may have direct impact to the timely implementation of their proposed solution • The Contractor shall assign an experienced transition project manager(s) to manage all aspects of the transition and to transfer knowledge, tools, documentation, equipment, processes and methodology from the current provider to the new provider and their team, if necessary. • The transition approach submitted with its proposal shall include: a.",Mandatory,0.8,Process
C.4,The Contractor shall describe a logical and methodological sequence of events needed to effectively complete transition and implementation.,Mandatory,0.8,Process
C.4,The Contractor shall develop a comprehensive transition approach to ensure a complete transition of NLRB’s services from the existing provider within 10 days or less of contract award.,Mandatory,0.8,Process
C.4,The Contractor shall provide a transition approach with its proposal and a final transition plan within 10 calendar days of award.,Mandatory,0.8,Process
C.4,The Contractor shall support NLRB’s transition in accordance with the requirements described below • The Contractor shall provide and manage a detailed transition plan to ensure that the new services are in place in a thorough and orderly manner.,Mandatory,0.8,Service
C.4,The offeror shall describe how it will ensure a superior customer experience and customer support throughout the transition.,Mandatory,0.8,Service
D.3,"Offerors should conduct their own research to confirm the type of building where each office is located. − NLRB has approximately 2-5 office moves per year where most moves are from commercial buildings to a Federal Government-owned building − NLRB is unable to confirm if site surveys or internal wiring will be required for our existing locations and this will need to be determined by each offeror. − All NLRB locations are standard office spaces with between five (5) and fifty (50) employees with standard working hours from Monday to Friday, 9 am – 6 pm local time. − Primary Local Contact Name (PCON) and alternative Local Contact Name (LCON) will be provided after the award.",Mandatory,0.8,Compliance
D.4,"Delivery Schedule The contractor shall provide the following deliverables: Deliverable Deliverable Due Date Deliver To Transition Plan 10 days from award deliverable must be submitted, accepted and approved, to the , contracting officer’s representative (COR) service access 30 days from award deliverable must be submitted, accepted and approved, to the , contracting officer’s representative (COR)",Mandatory,0.8,Service
E,"INVOICING REQUIREMENTS The invoice at a minimum should include: • Name and address of the contractor • Invoice date and number • Order number • Description, quantity, unit of measure, unit price and extended price of the items delivered or services rendered; and • Name, title, and phone number of person to notify in the event of defective invoice.",Informative,0.6,General
E,"If the COR persists and there still exists a disagreement as to the proper contractual coverage, the CO will be notified immediately, preferably in writing. 14.",Informative,0.6,General
